===============================================================================
Id,TSLA_data,len,datetime,open,high,low,close,volume,openinterest,GoldCross,len,datetime,Broker,len,cash,value,BuySell,len,buy,sell,Trades - Net Profit/Loss,len,pnlplus,pnlminus
1,TSLA_data,1,2021-06-11 20:00:00,610.35,611.0,610.35,610.5,2476.0,2476.0,GoldCross,1,737952.8333333334,Broker,1,10000.0,10000.0,BuySell,1,,,Trades - Net Profit/Loss,1,,
2,TSLA_data,2,2021-06-11 19:59:00,610.49,610.49,610.49,610.49,788.0,788.0,GoldCross,2,737952.8326388889,Broker,2,10000.0,10000.0,BuySell,2,,,Trades - Net Profit/Loss,2,,
3,TSLA_data,3,2021-06-11 19:58:00,610.35,610.35,610.35,610.35,252.0,252.0,GoldCross,3,737952.8319444444,Broker,3,10000.0,10000.0,BuySell,3,,,Trades - Net Profit/Loss,3,,
4,TSLA_data,4,2021-06-11 19:57:00,610.25,610.35,610.25,610.31,835.0,835.0,GoldCross,4,737952.83125,Broker,4,10000.0,10000.0,BuySell,4,,,Trades - Net Profit/Loss,4,,
5,TSLA_data,5,2021-06-11 19:56:00,610.1,610.25,610.1,610.25,1985.0,1985.0,GoldCross,5,737952.8305555555,Broker,5,10000.0,10000.0,BuySell,5,,,Trades - Net Profit/Loss,5,,
6,TSLA_data,6,2021-06-11 19:55:00,609.96,610.0,609.96,610.0,1250.0,1250.0,GoldCross,6,737952.8298611111,Broker,6,10000.0,10000.0,BuySell,6,,,Trades - Net Profit/Loss,6,,
7,TSLA_data,7,2021-06-11 19:54:00,609.9,609.9,609.9,609.9,389.0,389.0,GoldCross,7,737952.8291666667,Broker,7,10000.0,10000.0,BuySell,7,,,Trades - Net Profit/Loss,7,,
8,TSLA_data,8,2021-06-11 19:52:00,609.8,609.8,609.8,609.8,367.0,367.0,GoldCross,8,737952.8277777778,Broker,8,10000.0,10000.0,BuySell,8,,,Trades - Net Profit/Loss,8,,
9,TSLA_data,9,2021-06-11 19:51:00,609.9,609.9,609.8,609.8,1349.0,1349.0,GoldCross,9,737952.8270833333,Broker,9,10000.0,10000.0,BuySell,9,,,Trades - Net Profit/Loss,9,,
10,TSLA_data,10,2021-06-11 19:48:00,610.0,610.0,609.75,609.75,1509.0,1509.0,GoldCross,10,737952.825,Broker,10,10000.0,10000.0,BuySell,10,,,Trades - Net Profit/Loss,10,,
11,TSLA_data,11,2021-06-11 19:43:00,609.75,609.75,609.75,609.75,265.0,265.0,GoldCross,11,737952.8215277778,Broker,11,10000.0,10000.0,BuySell,11,,,Trades - Net Profit/Loss,11,,
