===============================================================================
Id,TSLA,len,datetime,open,high,low,close,volume,openinterest,adjclose,MAcrossover,len,datetime,Broker,len,cash,value,BuySell,len,buy,sell,Trades - Net Profit/Loss,len,pnlplus,pnlminus
1,TSLA,1,2016-06-14 23:59:59.999989,43.78,44.44,42.51,42.99,17901000.0,0.0,42.992001,MAcrossover,1,736129.9999999999,Broker,1,10000.0,10000.0,BuySell,1,,,Trades - Net Profit/Loss,1,,
2,TSLA,2,2016-06-15 23:59:59.999989,43.39,44.38,43.03,43.54,14542500.0,0.0,43.540001,MAcrossover,2,736130.9999999999,Broker,2,10000.0,10000.0,BuySell,2,,,Trades - Net Profit/Loss,2,,
3,TSLA,3,2016-06-16 23:59:59.999989,43.48,43.61,42.7,43.59,12201500.0,0.0,43.585999,MAcrossover,3,736131.9999999999,Broker,3,10000.0,10000.0,BuySell,3,,,Trades - Net Profit/Loss,3,,
4,TSLA,4,2016-06-17 23:59:59.999989,43.56,44.0,42.9,43.09,15563000.0,0.0,43.094002,MAcrossover,4,736132.9999999999,Broker,4,10000.0,10000.0,BuySell,4,,,Trades - Net Profit/Loss,4,,
5,TSLA,5,2016-06-20 23:59:59.999989,43.9,44.75,43.65,43.94,17777500.0,0.0,43.939999,MAcrossover,5,736135.9999999999,Broker,5,10000.0,10000.0,BuySell,5,,,Trades - Net Profit/Loss,5,,
6,TSLA,6,2016-06-21 23:59:59.999989,44.14,44.51,43.76,43.92,22645000.0,0.0,43.922001,MAcrossover,6,736136.9999999999,Broker,6,10000.0,10000.0,BuySell,6,,,Trades - Net Profit/Loss,6,,
7,TSLA,7,2016-06-22 23:59:59.999989,39.89,41.19,39.15,39.33,118712000.0,0.0,39.332001,MAcrossover,7,736137.9999999999,Broker,7,10000.0,10000.0,BuySell,7,,,Trades - Net Profit/Loss,7,,
8,TSLA,8,2016-06-23 23:59:59.999989,39.14,39.51,38.43,39.28,50653500.0,0.0,39.279999,MAcrossover,8,736138.9999999999,Broker,8,10000.0,10000.0,BuySell,8,,,Trades - Net Profit/Loss,8,,
9,TSLA,9,2016-06-24 23:59:59.999989,38.01,39.02,37.95,38.63,35132500.0,0.0,38.630001,MAcrossover,9,736139.9999999999,Broker,9,10000.0,10000.0,BuySell,9,,,Trades - Net Profit/Loss,9,,
10,TSLA,10,2016-06-27 23:59:59.999989,38.17,39.76,37.57,39.71,36027000.0,0.0,39.709999,MAcrossover,10,736142.9999999999,Broker,10,10000.0,10000.0,BuySell,10,,,Trades - Net Profit/Loss,10,,
11,TSLA,11,2016-06-28 23:59:59.999989,40.38,40.81,39.88,40.36,31062000.0,0.0,40.358002,MAcrossover,11,736143.9999999999,Broker,11,10000.0,10000.0,BuySell,11,,,Trades - Net Profit/Loss,11,,
12,TSLA,12,2016-06-29 23:59:59.999989,41.03,42.36,40.6,42.04,29974500.0,0.0,42.037998,MAcrossover,12,736144.9999999999,Broker,12,10000.0,10000.0,BuySell,12,,,Trades - Net Profit/Loss,12,,
13,TSLA,13,2016-06-30 23:59:59.999989,42.59,42.7,41.8,42.46,24215500.0,0.0,42.456001,MAcrossover,13,736145.9999999999,Broker,13,10000.0,10000.0,BuySell,13,,,Trades - Net Profit/Loss,13,,
14,TSLA,14,2016-07-01 23:59:59.999989,41.23,43.65,41.2,43.3,27000000.0,0.0,43.299999,MAcrossover,14,736146.9999999999,Broker,14,10000.0,10000.0,BuySell,14,,,Trades - Net Profit/Loss,14,,
15,TSLA,15,2016-07-05 23:59:59.999989,41.95,42.91,41.6,42.8,25876500.0,0.0,42.796001,MAcrossover,15,736150.9999999999,Broker,15,10000.0,10000.0,BuySell,15,,,Trades - Net Profit/Loss,15,,
16,TSLA,16,2016-07-06 23:59:59.999989,42.0,43.05,41.8,42.89,24599500.0,0.0,42.888,MAcrossover,16,736151.9999999999,Broker,16,10000.0,10000.0,BuySell,16,,,Trades - Net Profit/Loss,16,,
17,TSLA,17,2016-07-07 23:59:59.999989,42.62,43.62,42.6,43.19,18060000.0,0.0,43.188,MAcrossover,17,736152.9999999999,Broker,17,10000.0,10000.0,BuySell,17,,,Trades - Net Profit/Loss,17,,
18,TSLA,18,2016-07-08 23:59:59.999989,43.56,43.96,42.9,43.36,20374000.0,0.0,43.355999,MAcrossover,18,736153.9999999999,Broker,18,10000.0,10000.0,BuySell,18,,,Trades - Net Profit/Loss,18,,
19,TSLA,19,2016-07-11 23:59:59.999989,43.99,45.36,43.9,44.96,27149000.0,0.0,44.956001,MAcrossover,19,736156.9999999999,Broker,19,10000.0,10000.0,BuySell,19,,,Trades - Net Profit/Loss,19,,
